0,1,2,3,4,5,weeksToHouse
1,42,4,2,1,1,1103.2739795760972
2,33,3,2,1,1,625.4259826304267
2,33,2,3,1,1,625.4259826304258
2,81,1,1,2,1,-169.57639681609226
1,30,4,5,2,1,1193.278796316293
2,31,2,5,2,1,567.9296000061697
1,68,5,3,1,1,1559.8852080955185
1,25,3,4,2,1,810.4455118316725
1,32,1,5,1,1,1068.1416252738086
2,72,5,5,1,1,1675.609932743036
1,26,2,1,1,1,499.16155169222253
2,41,4,3,1,1,1018.798973405733
1,25,3,1,1,1,678.281869928733
2,28,2,2,1,1,425.2262518125444
1,30,1,1,1,1,330.5809397463978
1,21,3,5,1,1,1394.7631428747723
2,26,2,1,1,1,235.56622728534882
1,27,5,2,1,1,1233.209001789407
1,38,3,3,2,1,673.484018757906
2,65,4,2,1,1,920.4830700644815
2,36,5,5,1,1,1549.1334572548062
1,23,1,2,1,1,488.6218454015359
2,43,1,3,1,1,477.9247832659728
1,28,5,2,1,1,1236.7222372196356
2,43,3,1,1,1,477.9247832659744
2,36,1,2,1,1,270.6985815876342
2,32,3,2,1,1,621.912747200198
1,27,4,5,1,1,1598.476109122883
1,62,2,2,1,2,808.2715808471911
1,65,1,2,1,1,636.1777334711377
1,37,5,2,1,1,1268.3413560916933
2,53,5,1,2,1,462.5872258044633
1,41,4,2,1,1,1099.7607441458686
2,30,5,3,2,1,747.0499182426818
2,41,1,2,1,1,288.26475873877723
1,61,1,3,1,1,804.7583454169617
2,23,5,1,1,1,772.9271819948805
1,37,3,4,1,1,1268.3413560916915
1,42,5,4,1,1,1651.1746405763129
2,36,3,2,1,1,635.9656889211125
1,43,5,4,1,1,1654.6878760065415
2,25,3,1,1,1,414.68654552185933
1,56,4,2,1,1,1152.4592755992976
1,42,1,4,1,1,920.6404259093563
1,33,4,5,1,1,1619.5555217042547
1,23,4,1,1,1,853.888952735015
1,31,5,4,1,1,1612.5290508437984
1,35,2,5,1,1,1261.3148852312338
2,28,2,4,1,1,790.4933591460211
1,37,3,2,2,1,487.3372296609391
1,23,3,1,1,1,671.2553990682758
2,58,5,2,1,1,1078.5239757196205
1,37,1,3,1,1,720.4406950914748
2,35,4,3,2,1,581.9825417270857
2,23,3,2,1,1,590.2936283281405
2,52,2,3,1,1,692.1774558047695
1,40,1,5,1,1,1096.2475087156374
